1)tuId,2)tuName,5)tuGenes
RDBECOLITUC00612,rprA,rprA;
RDBECOLITUC00613,ydiL,ydiL;
RDBECOLITUC00614,ydiM,ydiM;
RDBECOLITUC00615,ydiNB-aroD,aroD;ydiB;ydiN;
RDBECOLITUC00616,ydiFO,ydiO;ydiF;
RDBECOLITUC00617,ppsR,ppsR;
RDBECOLITUC00618,ydiE,ydiE;
RDBECOLITUC00619,ydiV,rflP;
RDBECOLITUC00620,nlpC,nlpC;
RDBECOLITUC00621,arpB,arpB;
RDBECOLITUC00622,yniD,yniD;
RDBECOLITUC00623,ydiZ,ydiZ;
RDBECOLITUC00624,yniA,yniA;
RDBECOLITUC00625,hxpB,hxpB;
RDBECOLITUC00626,tcyP,tcyP;
RDBECOLITUC00627,ydjO,ydjO;
RDBECOLITUC00628,nadE,nadE;
RDBECOLITUC00629,ydjXYZ-ynjABCD,ynjD;ynjC;ynjB;ynjA;ydjZ;ydjY;ydjX;
RDBECOLITUC00630,ynjE,ynjE;
RDBECOLITUC00631,ynjI,ynjI;
RDBECOLITUC00632,sppA,sppA;
RDBECOLITUC00633,ydjE,ydjE;
RDBECOLITUC00634,ydjF,ydjF;
RDBECOLITUC00635,ydjLKJIHG,ydjL;ydjK;ydjJ;ydjI;ydjH;ydjG;
RDBECOLITUC00636,yeaC,yeaC;
RDBECOLITUC00637,yeaD,yeaD;
RDBECOLITUC00638,yeaE,yeaE;
RDBECOLITUC00639,mipA,mipA;
RDBECOLITUC00640,cdgI,cdgI;
RDBECOLITUC00641,dgcJ,dgcJ;
RDBECOLITUC00642,yeaK,yeaK;
RDBECOLITUC00643,nimT,nimT;
RDBECOLITUC00644,yeaO,yeaO;
RDBECOLITUC00645,yeaQ,yeaQ;
RDBECOLITUC00646,yeaR-yoaG,yeaR;yoaG;
RDBECOLITUC00647,dmlR,dmlR;
RDBECOLITUC00648,dmlA,dmlA;
RDBECOLITUC00649,yeaVW,yeaW;yeaV;
RDBECOLITUC00650,yeaX,yeaX;
RDBECOLITUC00651,tsaB-yeaY,tsaB;yeaY;
RDBECOLITUC00652,yoaA,yoaA;
RDBECOLITUC00653,yoaB,yoaB;
RDBECOLITUC00654,yoaC,yoaC;
RDBECOLITUC00655,pabB-nudL,nudL;pabB;
RDBECOLITUC00656,pdeD,pdeD;
RDBECOLITUC00657,yobD,yobD;
RDBECOLITUC00658,argP,argP;
RDBECOLITUC00659,mntP,mntP;
RDBECOLITUC00660,rlmA,rlmA;
RDBECOLITUC00661,yobF-cspC,yobF;cspC;
RDBECOLITUC00662,yebO,yebO;
RDBECOLITUC00663,proQ-prc,proQ;prc;
RDBECOLITUC00664,msrC,msrC;
RDBECOLITUC00665,letAB,letB;letA;
RDBECOLITUC00666,rsmF,rsmF;
RDBECOLITUC00667,yebV,yebV;
RDBECOLITUC00668,cbl,cbl;
RDBECOLITUC00669,yebW,yebW;
RDBECOLITUC00670,sdsR,sdsR;
RDBECOLITUC00671,yobA-yebZY,yobA;yebZ;yebY;
RDBECOLITUC00672,holE,holE;
RDBECOLITUC00673,yobB-exoX,exoX;yobB;
RDBECOLITUC00674,ptrB,ptrB;
RDBECOLITUC00675,yebE,yebE;
RDBECOLITUC00676,yebF,yebF;
RDBECOLITUC00677,yebG,yebG;
RDBECOLITUC00678,yebK,yebK;
RDBECOLITUC00679,pykA,pykA;
RDBECOLITUC00680,lpxM,lpxM;
RDBECOLITUC00681,yecDE,yecE;yecD;
RDBECOLITUC00682,yecN-cmoAB,cmoB;cmoA;yecN;
RDBECOLITUC00683,argS,argS;
RDBECOLITUC00684,yecT,yecT;
RDBECOLITUC00685,insA5B5AB5,insA5;insB5;insAB5;
RDBECOLITUC00686,yecJ,yecJ;
RDBECOLITUC00687,ftnA,ftnA;
RDBECOLITUC00688,yecA,yecA;
RDBECOLITUC00689,pgsA,pgsA;
RDBECOLITUC00690,sdiA,sdiA;
RDBECOLITUC00691,dcyD-tcyLN,dcyD;tcyL;tcyN;
RDBECOLITUC00692,yedEF,yedF;yedE;
RDBECOLITUC00693,yedK,yedK;
RDBECOLITUC00694,yedL,yedL;
RDBECOLITUC00695,yedN,yedN;
RDBECOLITUC00696,dgcQ,dgcQ;
RDBECOLITUC00697,yodC,yodC;
RDBECOLITUC00698,yedI,yedI;
RDBECOLITUC00699,yedRJ,drpB;yedJ;
RDBECOLITUC00700,yedS,yedS;
RDBECOLITUC00701,hchA,hchA;
RDBECOLITUC00702,hprRS,hprR;hprS;
RDBECOLITUC00703,hiuH-msrPQ,msrQ;msrP;hiuH;
RDBECOLITUC00704,msrPQ,msrQ;msrP;
RDBECOLITUC00705,yodB,yodB;
RDBECOLITUC00706,mtfA,mtfA;
RDBECOLITUC00707,yeeJ,yeeJ;
RDBECOLITUC00708,yeeL,yeeL;
RDBECOLITUC00709,yeeN,yeeN;
RDBECOLITUC00710,yeeO,yeeO;
RDBECOLITUC00711,ldtA,ldtA;
RDBECOLITUC00712,insH6,insH6;
RDBECOLITUC00713,insC3D3CD3,insC3;insD3;insCD3;
RDBECOLITUC00714,yeeP,yeeP;
RDBECOLITUC00715,yeeRST-cbeA-cbtA-yeeW,yeeW;cbtA;cbeA;yeeT;yeeS;yeeR;
RDBECOLITUC00716,yoeF,yoeF;
RDBECOLITUC00717,tmaR,tmaR;
RDBECOLITUC00718,yeeA,yeeA;
RDBECOLITUC00719,sbmC,sbmC;
RDBECOLITUC00720,dacD,dacD;
RDBECOLITUC00721,yeeED,tsuA;tsuB;
RDBECOLITUC00722,plaP,plaP;
RDBECOLITUC00723,yeeY,yeeY;
RDBECOLITUC00724,yeeZ,yeeZ;
RDBECOLITUC00725,yefM-yoeB,yefM;yoeB;
RDBECOLITUC00726,wzzB,wzzB;
RDBECOLITUC00727,ugd,ugd;
RDBECOLITUC00728,wcaKLM,wcaK;wcaL;wcaM;
RDBECOLITUC00729,wcaCDEF-gmd-fcl-gmm-wcaI-cpsBG-wcaJ-wzxC,wcaC;wcaD;wcaE;wcaF;gmd;fcl;gmm;wcaI;cpsB;cpsG;wcaJ;wzxC;
RDBECOLITUC00730,asmA,asmA;
RDBECOLITUC00731,yegL-pphC,yegL;pphC;
RDBECOLITUC00732,sibA,sibA;
RDBECOLITUC00733,sibB,sibB;
RDBECOLITUC00734,yegP,yegP;
RDBECOLITUC00735,trhP,trhP;
RDBECOLITUC00736,cyaR,cyaR;
RDBECOLITUC00737,insE5EF5F5,insF5;insE5;insEF5;
RDBECOLITUC00738,yegTUV,yegV;yegU;yegT;
RDBECOLITUC00739,yegW,yegW;
RDBECOLITUC00740,yegX,yegX;
RDBECOLITUC00741,thiMD,thiM;thiD;
RDBECOLITUC00742,rcnR,rcnR;
RDBECOLITUC00743,rcnAB,rcnB;rcnA;
RDBECOLITUC00744,rcnB,rcnB;
RDBECOLITUC00745,yehDCBA,yehD;yehC;yehB;yehA;
RDBECOLITUC00746,yehE,yehE;
RDBECOLITUC00747,mrp,mrp;
RDBECOLITUC00748,metG,metG;
RDBECOLITUC00749,yehHI,yehH;yehI;
RDBECOLITUC00750,yehK,yehK;
RDBECOLITUC00751,yehLMPQ,yehQ;yehP;yehM;yehL;
RDBECOLITUC00752,yehR,yehR;
RDBECOLITUC00753,yehS,yehS;
RDBECOLITUC00754,btsSR,btsS;btsR;
RDBECOLITUC00755,mlrA,mlrA;
RDBECOLITUC00756,yohO,yohO;
RDBECOLITUC00757,pbpG,pbpG;
RDBECOLITUC00758,yohC,yohC;
RDBECOLITUC00759,yohF,yohF;
RDBECOLITUC00760,mdtQ,mdtQ;
RDBECOLITUC00761,dusC,dusC;
RDBECOLITUC00762,yohJK,yohK;yohJ;
RDBECOLITUC00763,sanA-yeiS,yeiS;sanA;
RDBECOLITUC00764,preTA,preA;preT;
RDBECOLITUC00765,folE-yeiB,folE;yeiB;
RDBECOLITUC00766,yeiE,yeiE;
RDBECOLITUC00767,yeiH,yeiH;
RDBECOLITUC00768,nupX,nupX;
RDBECOLITUC00769,psuT,psuT;
RDBECOLITUC00770,psuKG,psuK;psuG;
RDBECOLITUC00771,yeiP,yeiP;
RDBECOLITUC00772,yeiQ,yeiQ;
RDBECOLITUC00773,yeiR-lpxT,lpxT;yeiR;
RDBECOLITUC00774,mepS,mepS;
RDBECOLITUC00775,pdeN,pdeN;
RDBECOLITUC00776,yejABEF,yejF;yejE;yejB;yejA;
RDBECOLITUC00777,yejG,yejG;
RDBECOLITUC00778,bcr,bcr;
RDBECOLITUC00779,rsuA,rsuA;
RDBECOLITUC00780,radD,radD;
RDBECOLITUC00781,None,rplY;
RDBECOLITUC00782,yejLM,lapC;yejL;
RDBECOLITUC00783,mqo,mqo;
RDBECOLITUC00784,yojI,yojI;
RDBECOLITUC00785,ftp,ftp;
RDBECOLITUC00786,atoSC,atoC;atoS;
RDBECOLITUC00787,yfaATSQP,yfaA;yfaT;yfaS;yfaQ;yfaP;
RDBECOLITUC00788,rpnE-ypaA,ypaA;rpnE;
RDBECOLITUC00789,yfaVU,yfaV;yfaU;
RDBECOLITUC00790,yfaX-rhmD,yfaX;rhmD;
RDBECOLITUC00791,yfaY,yfaY;
RDBECOLITUC00792,yfaZ,yfaZ;
RDBECOLITUC00793,arnBCADTEF,arnF;arnE;arnT;arnD;arnA;arnC;arnB;
RDBECOLITUC00794,pmrD,pmrD;
RDBECOLITUC00795,elaB,elaB;
RDBECOLITUC00796,elaA,elaA;
RDBECOLITUC00797,rbn,rbn;
RDBECOLITUC00798,elaD,elaD;
RDBECOLITUC00799,yfbL,yfbL;
RDBECOLITUC00800,yfbM,yfbM;
RDBECOLITUC00801,yfbO,yfbO;
RDBECOLITUC00802,yfbP,yfbP;
RDBECOLITUC00803,alaA,alaA;
RDBECOLITUC00804,yfbR,yfbR;
RDBECOLITUC00805,yfbS,yfbS;
RDBECOLITUC00806,yfbU-hxpA,yfbU;hxpA;
RDBECOLITUC00807,yfbV,yfbV;
RDBECOLITUC00808,yfcC,yfcC;
RDBECOLITUC00809,yfcD,yfcD;
RDBECOLITUC00810,yfcE,yfcE;
RDBECOLITUC00811,yfcF,yfcF;
RDBECOLITUC00812,yfcG,yfcG;
RDBECOLITUC00813,folX-yfcH,yfcH;folX;
RDBECOLITUC00814,rpnB,rpnB;
RDBECOLITUC00815,folC-dedD,folC;dedD;
RDBECOLITUC00816,yfcJ,yfcJ;
RDBECOLITUC00817,prmB-aroC-mepA-yfcA-epmC-yfcL,prmB;aroC;mepA;yfcA;epmC;yfcL;
RDBECOLITUC00818,yfcUSRQPO,yfcU;yfcS;yfcR;yfcQ;yfcP;yfcO;
RDBECOLITUC00819,yfcV,yfcV;
RDBECOLITUC00820,yfcZ,yfcZ;
RDBECOLITUC00821,yfdF,yfdF;
RDBECOLITUC00822,yfdC,yfdC;
RDBECOLITUC00823,intS,intS;
RDBECOLITUC00824,yfdGHI,yfdI;yfdH;yfdG;
RDBECOLITUC00825,tfaS,tfaS;
RDBECOLITUC00826,yfdONMLK,yfdO;yfdN;yfdM;yfdL;yfdK;
RDBECOLITUC00827,yfdPQ,yfdQ;yfdP;
RDBECOLITUC00828,yfdRST,yfdT;yfdS;yfdR;
RDBECOLITUC00829,ypdJ,ypdJ;
RDBECOLITUC00830,torI,torI;
RDBECOLITUC00831,yfdE,yfdE;
RDBECOLITUC00832,yfdV,yfdV;
RDBECOLITUC00833,oxc,oxc;
RDBECOLITUC00834,tpke70,tpke70;
RDBECOLITUC00835,alaC,alaC;
RDBECOLITUC00836,pyrSR-ypdC,ypdC;pyrR;pyrS;
RDBECOLITUC00837,fryBC-ypdFE-fryA,fryB;fryC;ypdF;ypdE;fryA;
RDBECOLITUC00838,yfeO,yfeO;
RDBECOLITUC00839,ypeC,ypeC;
RDBECOLITUC00840,insL3,insL3;
RDBECOLITUC00841,pdeA,pdeA;
RDBECOLITUC00842,ligA-ypeB,ligA;ypeB;
RDBECOLITUC00843,zipA,zipA;
RDBECOLITUC00844,cysZ,cysZ;
RDBECOLITUC00845,ucpA,ucpA;
RDBECOLITUC00846,murR,murR;
RDBECOLITUC00847,murQP-yfeW,yfeW;murP;murQ;
RDBECOLITUC00848,ypeA-yfeZ,ypeA;yfeZ;
RDBECOLITUC00849,eutBCLKR,eutB;eutC;eutL;eutK;eutR;
RDBECOLITUC00850,intZ,intZ;
RDBECOLITUC00851,yffL,yffL;
RDBECOLITUC00852,yffMN,yffN;yffM;
RDBECOLITUC00853,yffQR,yffR;yffQ;
RDBECOLITUC00854,yffS,yffS;
RDBECOLITUC00855,eutHA,eutH;eutA;
RDBECOLITUC00856,eutNEJG,eutN;eutE;eutJ;eutG;
RDBECOLITUC00857,eutSPQTDM,eutS;eutP;eutQ;eutT;eutD;eutM;
RDBECOLITUC00858,maeB,maeB;
RDBECOLITUC00859,ypfG,ypfG;
RDBECOLITUC00860,nudK,nudK;
RDBECOLITUC00861,aegA,aegA;
RDBECOLITUC00862,narQ,narQ;
RDBECOLITUC00863,yffB-dapE-ypfN,ypfN;dapE;yffB;
RDBECOLITUC00864,ypfH,ypfH;
RDBECOLITUC00865,ypfJ-tmcA,ypfJ;tmcA;
RDBECOLITUC00866,hda,hda;
RDBECOLITUC00867,yfgG,yfgG;
RDBECOLITUC00868,yfgHI,yfgI;yfgH;
RDBECOLITUC00869,yfgJ,yfgJ;
RDBECOLITUC00870,rlmN,rlmN;
RDBECOLITUC00871,ndk,ndk;
RDBECOLITUC00872,yfhM-pbpC,yfhM;pbpC;
RDBECOLITUC00873,ryfA-timP,timP;ryfA;
RDBECOLITUC00874,sseB,sseB;
RDBECOLITUC00875,pepB,pepB;
RDBECOLITUC00876,trmJ,trmJ;
RDBECOLITUC00877,suhB,suhB;
RDBECOLITUC00878,yfhR,yfhR;
RDBECOLITUC00879,hcaT,hcaT;
RDBECOLITUC00880,yphA,yphA;
RDBECOLITUC00881,yphCB,yphC;yphB;
RDBECOLITUC00882,yphFED,yphF;yphE;yphD;
RDBECOLITUC00883,yphG,yphG;
RDBECOLITUC00884,glmY,glmY;
RDBECOLITUC00885,pgpC-tadA,pgpC;tadA;
RDBECOLITUC00886,yfhH,yfhH;
RDBECOLITUC00887,yfhL,yfhL;
RDBECOLITUC00888,tapT-patZ,patZ;tapT;
RDBECOLITUC00889,pssLA,pssL;pssA;
RDBECOLITUC00890,yfiM,yfiM;
RDBECOLITUC00891,kgtP,kgtP;
RDBECOLITUC00892,rluD-pgeF,rluD;yfiH;
RDBECOLITUC00893,raiAZ,raiZ;raiA;
RDBECOLITUC00894,yfiL,yfiL;
RDBECOLITUC00895,yfiR-dgcN-yfiB,yfiB;dgcN;yfiR;
RDBECOLITUC00896,ffh,ffh;
RDBECOLITUC00897,ypjD,ypjD;
RDBECOLITUC00898,yfjD,yfjD;
RDBECOLITUC00899,nadK,nadK;
RDBECOLITUC00900,ratA-yfjF,ratA;yfjF;
RDBECOLITUC00901,smpB,smpB;
RDBECOLITUC00902,intA,intA;
RDBECOLITUC00903,alpA,alpA;
RDBECOLITUC00904,yfjI,yfjI;
RDBECOLITUC00905,yfjJ,yfjJ;
RDBECOLITUC00906,abpAB,abpA;abpB;
RDBECOLITUC00907,yfjM,yfjM;
RDBECOLITUC00908,yfjPQ,yfjQ;yfjP;
RDBECOLITUC00909,yfjR-ypjK-yfjS-yfjT,yfjT;yfjS;ypjK;yfjR;
RDBECOLITUC00910,yfjU,yfjU;
RDBECOLITUC00911,yfjV,yfjV;
RDBECOLITUC00912,yfjW,yfjW;
RDBECOLITUC00913,lfgABCDE,ypjF;yfjZ;ypjJ;lfgB;lfgA;
RDBECOLITUC00914,ypjA,ypjA;
RDBECOLITUC00915,pinH,pinH;
RDBECOLITUC00916,ypjB,ypjB;
RDBECOLITUC00917,ypjC,ypjC;
RDBECOLITUC00918,ileY,ileY;
RDBECOLITUC00919,ygaQ,ygaQ;
RDBECOLITUC00920,kbp,kbp;
RDBECOLITUC00921,yqaE,yqaE;
RDBECOLITUC00922,ygaVP,ygaP;ygaV;
RDBECOLITUC00923,ygaM,ygaM;
RDBECOLITUC00924,ygaY,ygaY;
RDBECOLITUC00925,ygaZH,ygaH;ygaZ;
RDBECOLITUC00926,gshA,gshA;
RDBECOLITUC00927,yqaBA,yqaB;yqaA;
RDBECOLITUC00928,None,csrA;
RDBECOLITUC00929,pncC,pncC;
RDBECOLITUC00930,mltB,mltB;
RDBECOLITUC00931,pphB,pphB;
RDBECOLITUC00932,ygbJK,ygbK;ygbJ;
RDBECOLITUC00933,ygbLM,ygbM;ygbL;
RDBECOLITUC00934,ygbN,ygbN;
RDBECOLITUC00935,ygbE,ygbE;
RDBECOLITUC00936,casABCDE12,casA;casB;casC;casD;casE;cas1;cas2;
RDBECOLITUC00937,cas3,cas3;
RDBECOLITUC00938,queD,queD;
RDBECOLITUC00939,ygcNOP,ygcP;ygcO;ygcN;
RDBECOLITUC00940,ygcRQ,ygcR;ygcQ;
RDBECOLITUC00941,ygcS,ygcS;
RDBECOLITUC00942,ygcU,ygcU;
RDBECOLITUC00943,ygcW,ygcW;
RDBECOLITUC00944,yqcE-ygcE,ygcE;yqcE;
RDBECOLITUC00945,rlmD,rlmD;
RDBECOLITUC00946,yqcC-truC-yqcA,yqcC;truC;yqcA;
RDBECOLITUC00947,syd,syd;
RDBECOLITUC00948,queF,queF;
RDBECOLITUC00949,ppnN,ppnN;
RDBECOLITUC00950,ygdG,ygdG;
RDBECOLITUC00951,csdAE,csdE;csdA;
RDBECOLITUC00952,tcdA,tcdA;
RDBECOLITUC00953,mltA,mltA;
RDBECOLITUC00954,ptrA-recBD,ptrA;recB;recD;
RDBECOLITUC00955,ppdAB-ygdB-ppdC-recC,ppdA;ppdB;ygdB;ppdC;recC;
RDBECOLITUC00956,rppH-ptsP,rppH;ptsP;
RDBECOLITUC00957,mutH,mutH;
RDBECOLITUC00958,ygdQ,ygdQ;
RDBECOLITUC00959,ygdR,ygdR;
RDBECOLITUC00960,tas,tas;
RDBECOLITUC00961,aas-lplT,aas;lplT;
RDBECOLITUC00962,ygeA,ygeA;
RDBECOLITUC00963,kduD,kduD;
RDBECOLITUC00964,kduI,kduI;
RDBECOLITUC00965,yqeF,yqeF;
RDBECOLITUC00966,yqeG,yqeG;
RDBECOLITUC00967,yqeH,yqeH;
RDBECOLITUC00968,yqeIJ,yqeJ;yqeI;
RDBECOLITUC00969,ygeF,ygeF;
RDBECOLITUC00970,ygeG,ygeG;
RDBECOLITUC00971,ygeH,ygeH;
RDBECOLITUC00972,ygeI,ygeI;
RDBECOLITUC00973,pbl,pbl;
RDBECOLITUC00974,ygeLK,ygeL;ygeK;
RDBECOLITUC00975,insC4D4CD4-ygeON,insC4;insD4;insCD4;ygeO;ygeN;
RDBECOLITUC00976,ygeP,ygeP;
RDBECOLITUC00977,ygeQ,ygeQ;
RDBECOLITUC00978,glyU,glyU;
RDBECOLITUC00979,ygeR,actS;
RDBECOLITUC00980,ygeW,ygeW;
RDBECOLITUC00981,ygeX,ygeX;
RDBECOLITUC00982,ygeY,ygeY;
RDBECOLITUC00983,hyuA,hyuA;
RDBECOLITUC00984,yqeA,yqeA;
RDBECOLITUC00985,yqeB,yqeB;
RDBECOLITUC00986,yqeC,yqeC;
RDBECOLITUC00987,mocA,mocA;
RDBECOLITUC00988,ygfK-ssnA,ssnA;ygfK;
RDBECOLITUC00989,ygfM-xdhD,xdhD;ygfM;
RDBECOLITUC00990,xanQ-guaD-ghxQ,ghxQ;guaD;xanQ;
RDBECOLITUC00991,ygfTS,ygfT;ygfS;
RDBECOLITUC00992,uacT,uacT;
RDBECOLITUC00993,idi,idi;
RDBECOLITUC00994,xerD,xerD;
RDBECOLITUC00995,sdhE-ygfX,sdhE;ygfX;
RDBECOLITUC00996,yqfA,trhA;
RDBECOLITUC00997,yqfB,yqfB;
RDBECOLITUC00998,ygfF,ygfF;
RDBECOLITUC00999,ygfB-pepP-ubiHI,ygfB;pepP;ubiH;ubiI;
RDBECOLITUC01000,zapA,zapA;
RDBECOLITUC01001,ssrS-ygfA,fau;ssrS;
RDBECOLITUC01002,yqfE,yqfE;
RDBECOLITUC01003,ygfI,srsR;
RDBECOLITUC01004,argO,argO;
RDBECOLITUC01005,mscS,mscS;
RDBECOLITUC01006,cmtBA-yggPF-fumE-yggC,cmtB;cmtA;yggP;yggF;fumE;yggC;
RDBECOLITUC01007,tktA,tktA;
RDBECOLITUC01008,yggI,yggI;
RDBECOLITUC01009,rsmE-gshB,gshB;rsmE;
RDBECOLITUC01010,yqgEF,yqgF;yqgE;
RDBECOLITUC01011,yggSTU-rdgB-hemW,hemW;rdgB;yggU;yggT;yggS;
RDBECOLITUC01012,yggM,yggM;
RDBECOLITUC01013,trmB-yggL,trmB;yggL;
RDBECOLITUC01014,yqgA,yqgA;
RDBECOLITUC01015,yghED,yghE;yghD;
RDBECOLITUC01016,yghG,yghG;
RDBECOLITUC01017,pppA,pppA;
RDBECOLITUC01018,yghJ,yghJ;
RDBECOLITUC01019,yghQ,yghQ;
RDBECOLITUC01020,yghSR,yghS;yghR;
RDBECOLITUC01021,pitB,pitB;
RDBECOLITUC01022,gss,gss;
RDBECOLITUC01023,yghW,yghW;
RDBECOLITUC01024,yghX,yghX;
RDBECOLITUC01025,yghB,yghB;
RDBECOLITUC01026,yqhD-dkgA,dkgA;yqhD;
RDBECOLITUC01027,None,dkgA;
RDBECOLITUC01028,yqhG,yqhG;
RDBECOLITUC01029,yqhH,yqhH;
RDBECOLITUC01030,ygiQ,ygiQ;
RDBECOLITUC01031,ftsP,ftsP;
RDBECOLITUC01032,plsC,plsC;
RDBECOLITUC01033,parC,parC;
RDBECOLITUC01034,ygiS,ygiS;
RDBECOLITUC01035,mqsRA,mqsR;mqsA;
RDBECOLITUC01036,ygiV,ygiV;
RDBECOLITUC01037,ygiW,ygiW;
RDBECOLITUC01038,mdaB,mdaB;
RDBECOLITUC01039,ygiN,ygiN;
RDBECOLITUC01040,nudF-yqiB-cpdA-yqiA-parE,nudF;yqiB;cpdA;yqiA;parE;
RDBECOLITUC01041,tolC-ygiBC,ygiC;ygiB;tolC;
RDBECOLITUC01042,sroG-ribB,sroG;ribB;
RDBECOLITUC01043,ubiK,ubiK;
RDBECOLITUC01044,ygiL,ygiL;
RDBECOLITUC01045,insC5CD5D5-yqiHIG,yqiI;yqiH;yqiG;insD5;insC5;insCD5;
RDBECOLITUC01046,yqiJK,yqiK;yqiJ;
RDBECOLITUC01047,sibD,sibD;
RDBECOLITUC01048,hldE,hldE;
RDBECOLITUC01049,ygiF-glnE,ygiF;glnE;
RDBECOLITUC01050,folB,folB;
RDBECOLITUC01051,ebgR,ebgR;
RDBECOLITUC01052,ygjI,ygjI;
RDBECOLITUC01053,ygjJK,ygjK;ygjJ;
RDBECOLITUC01054,fadH,fadH;
RDBECOLITUC01055,higBA,higB;higA;
RDBECOLITUC01056,rlmG,rlmG;
RDBECOLITUC01057,ygjP,ygjP;
RDBECOLITUC01058,ygjQ,ygjQ;
RDBECOLITUC01059,ygjR,ygjR;
RDBECOLITUC01060,alx,alx;
RDBECOLITUC01061,sstT,sstT;
RDBECOLITUC01062,ygjV,ygjV;
RDBECOLITUC01063,yqjCDEK,yqjK;yqjE;yqjD;yqjC;
RDBECOLITUC01064,yqjF,yqjF;
RDBECOLITUC01065,yqjG,yqjG;
RDBECOLITUC01066,yhaH,yhaH;
RDBECOLITUC01067,yhaI,yhaI;
RDBECOLITUC01068,yhaKL,yhaL;yhaK;
RDBECOLITUC01069,cyuPA,cyuP;cyuA;
RDBECOLITUC01070,tdcR,tdcR;
RDBECOLITUC01071,yhaBC,yhaC;yhaB;
RDBECOLITUC01072,sohA-yhaV,yhaV;prlF;
RDBECOLITUC01073,yraH,yraH;
RDBECOLITUC01074,yraIJK,yraK;yraJ;yraI;
RDBECOLITUC01075,yraQ,yraQ;
RDBECOLITUC01076,yraR,yraR;
RDBECOLITUC01077,ubiT-yhbS,ubiT;yhbS;
RDBECOLITUC01078,ubiUV,ubiV;ubiU;
RDBECOLITUC01079,yhbW,yhbW;
RDBECOLITUC01080,deaD,deaD;
RDBECOLITUC01081,nlpI,nlpI;
RDBECOLITUC01082,yhbX,yhbX;
RDBECOLITUC01083,folP-glmM,folP;glmM;
RDBECOLITUC01085,ispB,ispB;
RDBECOLITUC01086,sfsB,sfsB;
RDBECOLITUC01087,murA,murA;
RDBECOLITUC01088,ibaG,ibaG;
RDBECOLITUC01089,mlaFEDCB,mlaF;mlaE;mlaD;mlaC;mlaB;
RDBECOLITUC01090,elbB-mtgA,elbB;mtgA;
RDBECOLITUC01091,yhcC,yhcC;
RDBECOLITUC01092,yhcADE,yhcE;yhcD;yhcA;
RDBECOLITUC01093,yhcF,yhcF;
RDBECOLITUC01094,yhcG,yhcG;
RDBECOLITUC01095,nanR,nanR;
RDBECOLITUC01096,zapE,zapE;
RDBECOLITUC01097,yhcB,yhcB;
RDBECOLITUC01098,degQS,degS;degQ;
RDBECOLITUC01099,yhcN,yhcN;
RDBECOLITUC01100,yhcO,yhcO;
RDBECOLITUC01101,aaeXAB,aaeX;aaeA;aaeB;
RDBECOLITUC01102,tldD,tldD;
RDBECOLITUC01103,yhdP,yhdP;
RDBECOLITUC01104,csrD,csrD;
RDBECOLITUC01105,yhdJ,yhdJ;
RDBECOLITUC01106,yhdU,yhdU;
RDBECOLITUC01107,yhdV,yhdV;
RDBECOLITUC01108,trkA,trkA;
RDBECOLITUC01109,mscL,mscL;
RDBECOLITUC01110,arfA,arfA;
RDBECOLITUC01111,yhdN-zntR,yhdN;zntR;
RDBECOLITUC01112,gspCDEFGHIJKLMO,gspO;gspM;gspL;gspK;gspJ;gspI;gspH;gspG;gspF;gspE;gspD;gspC;
RDBECOLITUC01113,bfd-bfr,bfd;bfr;
RDBECOLITUC01114,yheO-tusDCB,yheO;tusD;tusC;tusB;
RDBECOLITUC01115,slyD,slyD;
RDBECOLITUC01116,kefGB-yheV,kefG;kefB;yheV;
RDBECOLITUC01117,yheSTU,yheU;yheT;yheS;
RDBECOLITUC01118,prkB,prkB;
RDBECOLITUC01119,tsgA,tsgA;
RDBECOLITUC01120,yhfL,yhfL;
RDBECOLITUC01121,yhfXW-php-yhfUTS,yhfX;yhfW;php;yhfU;yhfT;yhfS;
RDBECOLITUC01122,yhfZY,yhfZ;yhfY;
RDBECOLITUC01123,hofQ,hofQ;
RDBECOLITUC01124,hofMNOP,hofM;hofN;hofO;hofP;
RDBECOLITUC01125,igaA,igaA;
RDBECOLITUC01126,yrfG-hslR,hslR;yrfG;
RDBECOLITUC01127,hslO,hslO;
RDBECOLITUC01128,greB,greB;
RDBECOLITUC01129,yhgF,yhgF;
RDBECOLITUC01130,rpnA,rpnA;
RDBECOLITUC01131,yzgL,yzgL;
RDBECOLITUC01132,asd,asd;
RDBECOLITUC01133,yhhW,yhhW;
RDBECOLITUC01134,yhhX,yhhX;
RDBECOLITUC01135,yhhZ-yrhA-insA6AB6B6,insB6;insA6;insAB6;yrhA;yhhZ;
RDBECOLITUC01136,yrhB,yrhB;
RDBECOLITUC01137,rsmD-yhhL,yhhL;rsmD;
RDBECOLITUC01138,yhhN,yhhN;
RDBECOLITUC01139,yhhQ,yhhQ;
RDBECOLITUC01140,dcrB,dcrB;
RDBECOLITUC01141,yhhT,yhhT;
RDBECOLITUC01142,acpT,acpT;
RDBECOLITUC01143,rhsB,rhsB;
RDBECOLITUC01144,yhhH,yhhH;
RDBECOLITUC01145,yrhC,yrhC;
RDBECOLITUC01146,yhhI,yhhI;
RDBECOLITUC01147,yhiI-rbbA-yhhJ,yhiI;rbbA;yhhJ;
RDBECOLITUC01148,yhiJ,yhiJ;
RDBECOLITUC01149,yhiL,yhiL;
RDBECOLITUC01150,dtpB,dtpB;
