1)tuId,2)tuName,5)tuGenes
RDBECOLITUC00200,brnQ-proY,proY;brnQ;
RDBECOLITUC00201,yajD,yajD;
RDBECOLITUC00202,yajI,yajI;
RDBECOLITUC00203,nrdR-ribDE-nusB-thiL-pgpA,pgpA;thiL;nusB;ribE;ribD;nrdR;
RDBECOLITUC00204,panE-yajL,panE;yajL;
RDBECOLITUC00205,yajR,yajR;
RDBECOLITUC00206,ampG,ampG;
RDBECOLITUC00207,yajG,yajG;
RDBECOLITUC00208,tig,tig;
RDBECOLITUC00209,ybaV,ybaV;
RDBECOLITUC00210,fadM,fadM;
RDBECOLITUC00211,queC,queC;
RDBECOLITUC00212,ybaE,ybaE;
RDBECOLITUC00213,cof,cof;
RDBECOLITUC00214,decR,decR;
RDBECOLITUC00215,mdlAB,mdlB;mdlA;
RDBECOLITUC00216,ffs,ffs;
RDBECOLITUC00217,ybaA,ybaA;
RDBECOLITUC00218,pdeB,pdeB;
RDBECOLITUC00219,ylaC,ylaC;
RDBECOLITUC00220,maa,maa;
RDBECOLITUC00221,tomB-hha,tomB;hha;
RDBECOLITUC00222,mscK,mscK;
RDBECOLITUC00223,priC-ybaM,priC;ybaM;
RDBECOLITUC00224,ybaN,ybaN;
RDBECOLITUC00225,apt,apt;
RDBECOLITUC00226,dnaX,dnaX;
RDBECOLITUC00227,hemH,hemH;
RDBECOLITUC00228,ybaL,ybaL;
RDBECOLITUC00229,fsr,fsr;
RDBECOLITUC00230,cueR,cueR;
RDBECOLITUC00231,qmcA-ybbJ,qmcA;ybbJ;
RDBECOLITUC00232,fetAB,fetB;fetA;
RDBECOLITUC00233,ybbAP,ybbP;ybbA;
RDBECOLITUC00234,rhsD-ybbC-ylbH-ybbD,ybbD;ylbH;ybbC;rhsD;
RDBECOLITUC00235,ylbG,ylbG;
RDBECOLITUC00236,fdrA-ylbEF-ybcF,ybcF;ylbF;ylbE;fdrA;
RDBECOLITUC00237,ppiB-lpxH,ppiB;lpxH;
RDBECOLITUC00238,ybcI,ybcI;
RDBECOLITUC00239,folD-ybcJ,folD;ybcJ;
RDBECOLITUC00240,sfmA,sfmA;
RDBECOLITUC00241,sfmCD,sfmD;sfmC;
RDBECOLITUC00242,sfmHF,sfmF;sfmH;
RDBECOLITUC00243,exoD,exoD;
RDBECOLITUC00244,peaD,peaD;
RDBECOLITUC00245,insE3EF3F3,insF3;insE3;insEF3;
RDBECOLITUC00246,ybcK,ybcK;
RDBECOLITUC00247,ybcLM,ybcM;ybcL;
RDBECOLITUC00248,ybcN-ninE-ybcO-rusA-ylcG,ylcG;rusA;ybcO;ninE;ybcN;
RDBECOLITUC00249,ybcQ,quuD;
RDBECOLITUC00250,rzoD,rzoD;
RDBECOLITUC00251,ybcV,ybcV;
RDBECOLITUC00252,ybcW,ybcW;
RDBECOLITUC00253,nohD,nohD;
RDBECOLITUC00254,tfaD,tfaD;
RDBECOLITUC00255,tfaX,tfaX;
RDBECOLITUC00256,ybdG,ybdG;
RDBECOLITUC00257,ybdF,ybdF;
RDBECOLITUC00258,ybdJ,ybdJ;
RDBECOLITUC00259,ybdK,ybdK;
RDBECOLITUC00260,insL2,insL2;
RDBECOLITUC00261,ybdD,ybdD;
RDBECOLITUC00262,ybdM,ybdM;
RDBECOLITUC00263,ybdN,ybdN;
RDBECOLITUC00264,ybdO,citR;
RDBECOLITUC00265,None,dsbG;
RDBECOLITUC00266,rnk,rnk;
RDBECOLITUC00267,rna,rna;
RDBECOLITUC00268,citT,citT;
RDBECOLITUC00269,citCDEFXG,citC;citD;citE;citF;citX;citG;
RDBECOLITUC00270,dpiBA,dpiA;dpiB;
RDBECOLITUC00271,cspE,cspE;
RDBECOLITUC00272,ybeM,ybeM;
RDBECOLITUC00273,tatE,tatE;
RDBECOLITUC00274,lipA,lipA;
RDBECOLITUC00275,ybeF,ybeF;
RDBECOLITUC00276,lipB,lipB;
RDBECOLITUC00277,ybeD,ybeD;
RDBECOLITUC00278,dacA,dacA;
RDBECOLITUC00279,rsfS-rlmH-mrdAB-rlpA,rsfS;rlmH;mrdA;mrdB;rlpA;
RDBECOLITUC00280,leuS-lptE-holA-nadD-cobC,leuS;lptE;holA;nadD;cobC;
RDBECOLITUC00281,ybeR-djlB,djlB;ybeR;
RDBECOLITUC00282,ybeU-djlC,djlC;ybeU;
RDBECOLITUC00283,hscC,hscC;
RDBECOLITUC00284,rihA,rihA;
RDBECOLITUC00285,insH3,insH3;
RDBECOLITUC00286,ybeX-lnt,ybeX;lnt;
RDBECOLITUC00287,ybeZY,ybeZ;ybeY;
RDBECOLITUC00288,miaB,miaB;
RDBECOLITUC00289,chiZPQ,chiZ;chiQ;chiP;
RDBECOLITUC00290,chiQ,chiQ;
RDBECOLITUC00291,ybfF,ybfF;
RDBECOLITUC00292,ybfP,ybfP;
RDBECOLITUC00293,ybfA,ybfA;
RDBECOLITUC00294,rhsC-ybfB,ybfB;rhsC;
RDBECOLITUC00295,ybfOC,ybfC;ybfO;
RDBECOLITUC00296,ybfQ,ybfQ;
RDBECOLITUC00297,ybfL,ybfL;
RDBECOLITUC00298,ybfD,ybfD;
RDBECOLITUC00299,abrB,abrB;
RDBECOLITUC00300,ybgQPOD,ybgD;ybgQ;ybgP;ybgO;
RDBECOLITUC00301,ybgD,ybgD;
RDBECOLITUC00302,valZ-lysY,lysY;valZ;
RDBECOLITUC00303,lysZ,lysZ;
RDBECOLITUC00304,lysQ,lysQ;
RDBECOLITUC00305,None,pnuC;nadA;
RDBECOLITUC00306,zitB,zitB;
RDBECOLITUC00307,ybgS,ybgS;
